site,probability,protein_id,label
62,0.0261718537658453,15609229,0.0
70,0.3682776391506195,15609229,0.0
76,0.764773428440094,15609229,0.0
203,0.7948940992355347,15609229,0.0
266,0.0503402538597583,15609229,0.0
365,0.0100007308647036,15609229,0.0
391,0.4452220797538757,15609229,0.0
612,0.4944388270378113,15609229,0.0
696,0.2871348857879638,15609229,0.0
761,0.153804138302803,15609229,1.0
890,0.5687737464904785,15609229,0.0
111,0.0983145236968994,15609376,0.0
152,0.1088804453611373,15609376,0.0
157,0.0017077933298423,15609376,0.0
221,0.1092882603406906,15609521,0.0
307,0.0340668708086013,15609521,0.0
321,0.0689936950802803,15609521,0.0
332,0.8118228912353516,15609521,0.0
453,0.7746396064758301,15609521,1.0
494,0.0058901524171233,15609521,0.0
542,0.5340067148208618,15609521,0.0
545,0.090499997138977,15609521,0.0
34,0.0390282794833183,A2ALM8,0.0
37,0.0473739616572856,A2ALM8,0.0
72,0.4218275547027588,A2ALM8,0.0
79,0.0546406954526901,A2ALM8,0.0
95,0.6170710325241089,A2ALM8,0.0
137,0.5425326228141785,A2ALM8,0.0
138,0.0654485672712326,A2ALM8,0.0
148,0.6142853498458862,A2ALM8,0.0
149,0.1060721054673194,A2ALM8,0.0
158,0.8811455368995667,A2ALM8,0.0
159,0.0487756617367267,A2ALM8,0.0
167,0.1410268098115921,A2ALM8,0.0
176,0.2771662771701813,A2ALM8,0.0
181,0.2267639935016632,A2ALM8,0.0
184,0.7242050766944885,A2ALM8,0.0
189,0.0012257695198059,A2ALM8,0.0
191,0.2423094063997268,A2ALM8,0.0
198,0.5787830352783203,A2ALM8,0.0
199,0.0009133752901107,A2ALM8,0.0
200,0.0005536813987419,A2ALM8,0.0
203,0.4754208922386169,A2ALM8,0.0
213,0.319455474615097,A2ALM8,0.0
220,0.9137629270553588,A2ALM8,1.0
231,0.3451200723648071,A2ALM8,0.0
242,0.2118600308895111,A2ALM8,0.0
243,0.1236589476466178,A2ALM8,0.0
67,0.4701423645019531,A2AQN4,0.0
72,0.0080132912844419,A2AQN4,0.0
88,0.0510230213403701,A2AQN4,0.0
90,0.4233729839324951,A2AQN4,0.0
97,0.0762779265642166,A2AQN4,0.0
115,0.0358242876827716,A2AQN4,0.0
116,0.0059867398813366,A2AQN4,0.0
120,0.1512896865606308,A2AQN4,0.0
135,0.0314713418483734,A2AQN4,0.0
154,0.0598540939390659,A2AQN4,0.0
159,0.2352017611265182,A2AQN4,0.0
222,0.2583424746990204,A2AQN4,0.0
227,0.9360412359237672,A2AQN4,0.0
236,0.5316210389137268,A2AQN4,0.0
240,0.3028889000415802,A2AQN4,0.0
251,0.4491530954837799,A2AQN4,0.0
271,0.0514987669885158,A2AQN4,0.0
280,0.2527404129505157,A2AQN4,0.0
284,0.0016251078341156,A2AQN4,0.0
286,0.0038453959859907,A2AQN4,0.0
335,0.0928977727890014,A2AQN4,0.0
337,0.1001543775200843,A2AQN4,0.0
355,0.0012793646892532,A2AQN4,0.0
413,0.7889593839645386,A2AQN4,0.0
415,0.2134208083152771,A2AQN4,0.0
418,0.8635306358337402,A2AQN4,0.0
431,0.9387603998184204,A2AQN4,0.0
439,0.7722020745277405,A2AQN4,0.0
498,0.0169982612133026,A2AQN4,0.0
532,0.0350913219153881,A2AQN4,0.0
555,0.9834232926368712,A2AQN4,1.0
556,0.7597701549530029,A2AQN4,0.0
620,0.007091081701219,A2AQN4,0.0
645,0.3005942106246948,A2AQN4,0.0
646,0.0097920978441834,A2AQN4,0.0
651,0.25851970911026,A2AQN4,0.0
669,0.2138816267251968,A2AQN4,0.0
674,0.0272664371877908,A2AQN4,0.0
682,0.1828023940324783,A2AQN4,0.0
8,0.552273154258728,A2AQR0,0.0
33,0.2448601573705673,A2AQR0,0.0
65,0.1518235355615615,A2AQR0,0.0
94,0.7206608653068542,A2AQR0,0.0
113,0.59617680311203,A2AQR0,0.0
124,0.6011942625045776,A2AQR0,0.0
138,0.7395391464233398,A2AQR0,0.0
166,0.0059230281040072,A2AQR0,0.0
178,0.0008215956040658,A2AQR0,0.0
190,0.020245686173439,A2AQR0,0.0
197,0.8099018335342407,A2AQR0,0.0
209,0.9676254987716676,A2AQR0,0.0
211,0.2128906995058059,A2AQR0,0.0
254,0.2798662185668945,A2AQR0,0.0
255,0.1849143952131271,A2AQR0,0.0
262,0.552849531173706,A2AQR0,0.0
271,0.7897519469261169,A2AQR0,0.0
284,0.1276149749755859,A2AQR0,0.0
299,0.0246780347079038,A2AQR0,0.0
303,0.1021720990538597,A2AQR0,0.0
348,0.0447065085172653,A2AQR0,0.0
409,0.7722753286361694,A2AQR0,0.0
